validation_type,model,held_out_pair,r2,rmse,mae,median_ae,max_ae,worst_pair_mae,empirical_interval_coverage,mean_interval_width
LTDO,A,Caffeine + Epinephrine,-1.2519348209697578,4.059833423848268,3.794397988044461,4.337131266672145,5.617981266672144,3.794397988044461,1.0,87.99120775624117
LTDO,A,Caffeine + Ketamine,-1.471943261313399,2.8658256113674727,2.6490085163158965,2.9183592145719035,4.199209214571903,2.6490085163158965,1.0,74.87930073584826
LTDO,A,Caffeine + Lidocaine,-1.477931110310331,2.4693867086749033,1.8362835678158929,1.7567758033729886,4.3147921356317855,1.8362835678158929,1.0,65.0524196030533
LTDO,A,Caffeine + Naloxone,-8.360114273459772,4.199107718201685,4.063848444385096,4.0938157490690354,5.216792038139845,4.063848444385097,1.0,129.85663102969949
LTDO,A,Caffeine + Promethazine,-2.977178891280957,2.655694976058644,2.4658167234239694,2.361431784776941,4.515086600718027,2.4658167234239694,1.0,105.28671002202567
LTDO,A,Diazepam + Diphenhydramine,-0.07662487773180349,4.499820474838276,3.7360010646948743,2.5994904177461295,7.1257095822538705,3.7360010646948743,1.0,43.427858577151504
LTDO,A,Diazepam + Epinephrine,0.7506811937939074,2.677056124604371,2.543101810590298,2.578926810590298,3.6882963764298857,2.543101810590298,1.0,57.539070824434006
LTDO,A,Diazepam + Ketamine,-5.074310868555776,2.220422111834998,2.134040414245662,2.0927904142456617,2.8867940578213602,2.134040414245662,1.0,32.526774023763814
LTDO,A,Diazepam + Lidocaine,-1.3334679451682456,1.5844540650758336,1.4393292444672587,1.3161790948798757,2.799679543642025,1.4393292444672587,1.0,70.1294806499505
LTDO,A,Diazepam + Naloxone,-87.41392709838838,11.604075271271634,10.209647976758879,14.676486691678376,14.723286691678377,10.209647976758877,1.0,192.33587160415428
LTDO,A,Diazepam + Promethazine,0.06157477739087813,1.0918657119002093,0.822878700151924,0.58765,2.698937336837778,0.822878700151924,1.0,140.54529796529116
LTDO,A,Diphenhydramine + Epinephrine,0.441725317179289,5.6078461932252495,4.740329519621654,5.073169852870004,8.448225970854878,4.740329519621654,0.7777777777777778,273.6135144932834
LTDO,A,Diphenhydramine + Ketamine,0.03617753161087989,4.535802038524907,3.7280232635033363,2.5062906284699755,7.2189093715300245,3.7280232635033363,1.0,47.35213626147387
