sample_id,mission,drug_name,formulation,dosage,days_expired,manufacturer,packaging,start_date,end_date,days_in_space,total_exposure_hours,radiation_measurements_count,radiation_coverage_percent,mean_dose_rate_uGy_h,mean_daily_dose_rate_uGy_d,median_dose_rate_uGy_h,std_dose_rate_uGy_h,min_dose_rate_uGy_h,max_dose_rate_uGy_h,estimated_cumulative_iss_dose_mGy,dosimetry_nature,pubchem_cid,molecular_weight_gmol,xlogp,tpsa_angstrom2,rotatable_bonds,hbond_donors,hbond_acceptors,heavy_atom_count,molecular_complexity,inchikey,isomeric_smiles,flight_percent_api_remaining,ground_control_percent_api_remaining,relative_percent_diff_vs_control,outcome_extraction_status,sd_ground_control_api,sd_flight_api,anova_p_value_exposure,outcome_source,outcome_extraction_method
DS01_21,SpX-18,Naloxone,Solution,1 mg/mL,1096,International Mediation Systems,Syringe (MFR),2019-07-27,2020-04-09,257,6168.0,280683,94.53,31.6083,758.6,5.3353,89.2255,1.2074,776.8041,194.96,Environmental ISS ambient estimate (not direct sample dosimeter),5284596,327.4,2.1,70.0,2,2,5,24,594.0,UZHSEJADLWPNLE-GRGSLBFTSA-N,,95.3,98.1,-2.85,EXTRACTED_AND_VERIFIED,2.0,2.4,P=0.0125,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_22,SpX-18,Promethazine,Solution,25 mg/mL,1096,Hikma,Single-dose vial (MFR),2019-07-27,2020-04-09,257,6168.0,280683,94.53,31.6083,758.6,5.3353,89.2255,1.2074,776.8041,194.96,Environmental ISS ambient estimate (not direct sample dosimeter),4927,284.4,4.8,31.8,3,0,3,20,298.0,PWWVAXIEGOYWEE-UHFFFAOYSA-N,,93.1,96.4,-3.42,EXTRACTED_AND_VERIFIED,2.3,2.7,P=0.0080,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_23,SpX-18,Promethazine,Tablet,25 mg,1157,McKesson,Blister pack (MFR),2019-07-27,2020-04-09,257,6168.0,280683,94.53,31.6083,758.6,5.3353,89.2255,1.2074,776.8041,194.96,Environmental ISS ambient estimate (not direct sample dosimeter),4927,284.4,4.8,31.8,3,0,3,20,298.0,PWWVAXIEGOYWEE-UHFFFAOYSA-N,,92.5,95.8,-3.44,EXTRACTED_AND_VERIFIED,2.5,2.8,P=0.0080,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_24,SpX-20,Caffeine,Tablet,200 mg,549,Walgreens,Amber ziplock (JSC),2020-03-09,2021-01-16,313,7512.0,339409,90.32,29.0349,696.84,5.2027,86.222,0.0359,764.4428,218.11,Environmental ISS ambient estimate (not direct sample dosimeter),2519,194.19,-0.1,58.4,0,0,3,14,293.0,RYYVLZVUVIJVGH-UHFFFAOYSA-N,,91.8,95.1,-3.47,EXTRACTED_AND_VERIFIED,2.2,2.6,P=0.0080,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_25,SpX-20,Diazepam,Solution,5 mg/mL,930,Hospira,Multi-dose vial (MFR),2020-03-09,2022-11-06,972,23328.0,1335265,76.61,29.9611,719.07,5.205,89.9476,0.0359,865.2253,698.933,Environmental ISS ambient estimate (not direct sample dosimeter),3016,284.74,3.0,32.7,1,0,2,20,403.0,AAOVKJBEBIDNHE-UHFFFAOYSA-N,,77.2,79.5,-2.89,EXTRACTED_AND_VERIFIED,3.4,3.6,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_26,SpX-20,Diphenhydramine,Capsule,25 mg,580,Major,Blister pack (MFR),2020-03-09,2021-07-12,490,11760.0,707221,93.81,29.8892,717.34,5.2114,89.4552,0.0359,865.2253,351.497,Environmental ISS ambient estimate (not direct sample dosimeter),3100,255.35,3.3,12.5,6,0,2,19,211.0,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,,78.1,80.2,-2.62,EXTRACTED_AND_VERIFIED,3.1,3.5,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_27,SpX-20,Diphenhydramine,Solution,50 mg/mL,823,Fresenius Kabi,Single-dose vial (MFR),2020-03-09,2021-07-12,490,11760.0,707221,93.81,29.8892,717.34,5.2114,89.4552,0.0359,865.2253,351.497,Environmental ISS ambient estimate (not direct sample dosimeter),3100,255.35,3.3,12.5,6,0,2,19,211.0,ZZVUWRFHKOJYTH-UHFFFAOYSA-N,,76.4,78.9,-3.17,EXTRACTED_AND_VERIFIED,3.3,3.7,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_28,SpX-20,Ketamine,Solution,50 mg/mL,670,Mylan,Multi-dose vial (MFR),2020-03-09,2021-07-12,490,11760.0,707221,93.81,29.8892,717.34,5.2114,89.4552,0.0359,865.2253,351.497,Environmental ISS ambient estimate (not direct sample dosimeter),3821,237.72,2.2,29.1,2,1,2,16,269.0,YQEZLKZALYSWHR-UHFFFAOYSA-N,,75.8,79.1,-4.17,EXTRACTED_AND_VERIFIED,3.5,3.8,ns,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_29,SpX-20,Lidocaine,Solution,10 mg/mL,670,Fresenius Kabi,Multi-dose vial (MFR),2020-03-09,2021-07-12,490,11760.0,707221,93.81,29.8892,717.34,5.2114,89.4552,0.0359,865.2253,351.497,Environmental ISS ambient estimate (not direct sample dosimeter),3676,234.34,2.3,32.3,5,1,2,17,228.0,NNJVILVZKWQKPM-UHFFFAOYSA-N,,99.5,103.2,-3.59,EXTRACTED_AND_VERIFIED,2.1,2.3,P=0.0001,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_30,SpX-20,Naloxone,Solution,1 mg/mL,731,International Mediation Systems,Syringe (MFR),2020-03-09,2021-10-03,573,13752.0,905958,94.71,29.9381,718.51,5.2258,89.7277,0.0359,865.2253,411.708,Environmental ISS ambient estimate (not direct sample dosimeter),5284596,327.4,2.1,70.0,2,2,5,24,594.0,UZHSEJADLWPNLE-GRGSLBFTSA-N,,98.9,102.8,-3.79,EXTRACTED_AND_VERIFIED,2.0,2.4,P=0.0001,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_31,SpX-20,Promethazine,Solution,25 mg/mL,792,Hikma,Single-dose vial (MFR),2020-03-09,2021-07-12,490,11760.0,707221,93.81,29.8892,717.34,5.2114,89.4552,0.0359,865.2253,351.497,Environmental ISS ambient estimate (not direct sample dosimeter),4927,284.4,4.8,31.8,3,0,3,20,298.0,PWWVAXIEGOYWEE-UHFFFAOYSA-N,,99.8,103.6,-3.67,EXTRACTED_AND_VERIFIED,2.2,2.5,P=0.0001,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
DS01_32,SpX-20,Promethazine,Tablet,25 mg,1065,McKesson,Blister pack (MFR),2020-03-09,2021-01-16,313,7512.0,339409,90.32,29.0349,696.84,5.2027,86.222,0.0359,764.4428,218.11,Environmental ISS ambient estimate (not direct sample dosimeter),4927,284.4,4.8,31.8,3,0,3,20,298.0,PWWVAXIEGOYWEE-UHFFFAOYSA-N,,98.1,102.4,-4.2,EXTRACTED_AND_VERIFIED,2.3,2.6,P=0.0001,Nowadly et al. (2026) Figures 2 & 3,Calibrated optical digitization of UHPLC-MS/MS assay data
